	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
1556392_a_at_1556392_a_at	1556392_a_at	1556392_a_at	-0.597802391	0.468984092
1556393_at_1556393_at	1556393_at	1556393_at	-1.399872129	0.013849622
1556394_a_at_1556394_a_at	1556394_a_at	1556394_a_at	-0.258597987	0.630507717
1556395_at_1556395_at	1556395_at	1556395_at	0.256283587	0.765989879
1556397_at_1556397_at	1556397_at	1556397_at	0.700742039	0.590161855
1556398_a_at_1556398_a_at	1556398_a_at	1556398_a_at	-0.19370444	0.808373163
1556400_at_1556400_at	1556400_at	1556400_at	-0.136394404	0.921995561
1556401_a_at_1556401_a_at	1556401_a_at	1556401_a_at	-0.607714446	0.572569506
1556409_a_at_1556409_a_at	1556409_a_at	1556409_a_at	0.049110364	0.792501948
1556412_at_1556412_at	1556412_at	1556412_at	-0.393037696	0.335104072
1556413_a_at_1556413_a_at	1556413_a_at	1556413_a_at	0.439728983	0.639320759
1556416_s_at_1556416_s_at	1556416_s_at	1556416_s_at	-0.257373569	0.06343239
1556417_a_at_1556417_a_at	1556417_a_at	1556417_a_at	-0.368004597	0.0469586
1556422_at_1556422_at	1556422_at	1556422_at	0.504933953	0.29864634
1556432_at_1556432_at	1556432_at	1556432_at	-0.235915718	0.232546395
1556434_at_1556434_at	1556434_at	1556434_at	-0.474014563	0.249591177
1556439_at_1556439_at	1556439_at	1556439_at	-0.573019711	0.160944697
1556442_x_at_1556442_x_at	1556442_x_at	1556442_x_at	-0.460850747	0.236503148
1556445_at_1556445_at	1556445_at	1556445_at	0.506806386	0.486631747
1556449_at_1556449_at	1556449_at	1556449_at	1.001045764	0.136587283
1556451_at_1556451_at	1556451_at	1556451_at	-0.043494466	0.951926342
1556461_at_1556461_at	1556461_at	1556461_at	0.606527007	0.081362053
1556462_a_at_1556462_a_at	1556462_a_at	1556462_a_at	0.309824909	0.143081929
1556465_at_1556465_at	1556465_at	1556465_at	-1.317023395	0.121143699
1556468_at_1556468_at	1556468_at	1556468_at	0.574861947	0.472473917
1556469_s_at_1556469_s_at	1556469_s_at	1556469_s_at	-0.598483641	0.490489812
1556479_at_1556479_at	1556479_at	1556479_at	0.786353869	0.224755327
1556480_a_at_1556480_a_at	1556480_a_at	1556480_a_at	0.498574439	0.440881888
1556486_at_1556486_at	1556486_at	1556486_at	-0.350195264	0.139431972
1556491_at_1556491_at	1556491_at	1556491_at	-0.522929805	0.341709754
1556492_a_at_1556492_a_at	1556492_a_at	1556492_a_at	-0.581681228	0.666185448
1556494_at_1556494_at	1556494_at	1556494_at	0.195862231	0.890979528
1556496_a_at_1556496_a_at	1556496_a_at	1556496_a_at	-0.054974933	0.873379114
1556497_a_at_1556497_a_at	1556497_a_at	1556497_a_at	0.668203308	0.586847846
1556500_a_at_1556500_a_at	1556500_a_at	1556500_a_at	0.11908783	0.942208276
1556504_at_1556504_at	1556504_at	1556504_at	-2.696688317	0.065514262
1556507_at_1556507_at	1556507_at	1556507_at	0.291924445	0.632204445
1556508_s_at_1556508_s_at	1556508_s_at	1556508_s_at	0.086883711	0.936390012
1556510_at_1556510_at	1556510_at	1556510_at	0.278913798	0.5259291
1556511_a_at_1556511_a_at	1556511_a_at	1556511_a_at	0.595255289	0.633298225
1556520_at_1556520_at	1556520_at	1556520_at	1.124472429	0.108720334
1556521_a_at_1556521_a_at	1556521_a_at	1556521_a_at	0.004959753	0.995488575
1556527_a_at_1556527_a_at	1556527_a_at	1556527_a_at	-0.426389655	0.107002062
1556531_at_1556531_at	1556531_at	1556531_at	0.008536194	0.994143708
1556540_a_at_1556540_a_at	1556540_a_at	1556540_a_at	-0.364795948	0.606473408
1556541_s_at_1556541_s_at	1556541_s_at	1556541_s_at	0.766675481	0.262273078
1556542_a_at_1556542_a_at	1556542_a_at	1556542_a_at	0.164843884	0.444625871
1556543_at_1556543_at	1556543_at	1556543_at	-0.276945621	0.113583736
1556545_at_1556545_at	1556545_at	1556545_at	-0.133132019	0.30871169
