	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
1556412_at_1556412_at	1556412_at	1556412_at	0.637263734	0.458770441
1556413_a_at_1556413_a_at	1556413_a_at	1556413_a_at	-1.255328358	0.788459357
1556416_s_at_1556416_s_at	1556416_s_at	1556416_s_at	0.309820744	0.661806405
1556417_a_at_1556417_a_at	1556417_a_at	1556417_a_at	0.017123308	0.982380482
1556422_at_1556422_at	1556422_at	1556422_at	-0.995363277	0.630050085
1556432_at_1556432_at	1556432_at	1556432_at	0.082910439	0.923813947
1556434_at_1556434_at	1556434_at	1556434_at	2.128981678	0.067043616
1556439_at_1556439_at	1556439_at	1556439_at	2.164659169	0.228752467
1556442_x_at_1556442_x_at	1556442_x_at	1556442_x_at	-0.690520711	0.713641358
1556445_at_1556445_at	1556445_at	1556445_at	-0.679405947	0.805095988
1556449_at_1556449_at	1556449_at	1556449_at	2.937989811	0.291411595
1556451_at_1556451_at	1556451_at	1556451_at	0.489637095	0.854822821
1556461_at_1556461_at	1556461_at	1556461_at	-1.70202708	0.303868417
1556462_a_at_1556462_a_at	1556462_a_at	1556462_a_at	-0.536774453	0.627554665
1556465_at_1556465_at	1556465_at	1556465_at	2.993244015	0.337634202
1556468_at_1556468_at	1556468_at	1556468_at	-4.91435285	0.195287636
1556469_s_at_1556469_s_at	1556469_s_at	1556469_s_at	2.207525293	0.535891355
1556479_at_1556479_at	1556479_at	1556479_at	3.105480695	0.25729868
1556480_a_at_1556480_a_at	1556480_a_at	1556480_a_at	0.203240505	0.938078409
1556486_at_1556486_at	1556486_at	1556486_at	0.421350162	0.772197286
1556491_at_1556491_at	1556491_at	1556491_at	0.329639423	0.913599587
1556492_a_at_1556492_a_at	1556492_a_at	1556492_a_at	-2.199152507	0.602592871
1556494_at_1556494_at	1556494_at	1556494_at	2.899840098	0.380504497
1556496_a_at_1556496_a_at	1556496_a_at	1556496_a_at	1.024634642	0.424708059
1556497_a_at_1556497_a_at	1556497_a_at	1556497_a_at	-0.039791269	0.988259254
1556500_a_at_1556500_a_at	1556500_a_at	1556500_a_at	7.543010933	0.159557491
1556504_at_1556504_at	1556504_at	1556504_at	-3.432768536	0.553141799
1556507_at_1556507_at	1556507_at	1556507_at	0.275780714	0.891350759
1556508_s_at_1556508_s_at	1556508_s_at	1556508_s_at	-3.151014055	0.398711661
1556510_at_1556510_at	1556510_at	1556510_at	0.438564492	0.793730284
1556511_a_at_1556511_a_at	1556511_a_at	1556511_a_at	0.453792442	0.909196291
1556520_at_1556520_at	1556520_at	1556520_at	-0.022224401	0.995195855
1556521_a_at_1556521_a_at	1556521_a_at	1556521_a_at	3.396192989	0.382697885
1556527_a_at_1556527_a_at	1556527_a_at	1556527_a_at	0.216036253	0.827864711
1556531_at_1556531_at	1556531_at	1556531_at	-2.66626385	0.481626221
1556540_a_at_1556540_a_at	1556540_a_at	1556540_a_at	-1.549833497	0.52020778
1556541_s_at_1556541_s_at	1556541_s_at	1556541_s_at	-7.263174292	0.004951231
1556542_a_at_1556542_a_at	1556542_a_at	1556542_a_at	-0.211450442	0.843831839
1556543_at_1556543_at	1556543_at	1556543_at	-0.191162651	0.799925736
1556545_at_1556545_at	1556545_at	1556545_at	0.240541246	0.704597435
1556553_at_1556553_at	1556553_at	1556553_at	2.423226876	0.206907282
