	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
ATP5G1_208972_s_at	ATP5G1	208972_s_at	0.559035447	0.139026884
ATP5G2_207552_at	ATP5G2	207552_at	-3.224760226	0.064833695
ATP5G3_207508_at	ATP5G3	207508_at	-0.557432164	0.452571708
ATP5H_210149_s_at	ATP5H	210149_s_at	0.692874522	0.330604303
ATP5I_209492_x_at	ATP5I	209492_x_at	0.225090698	0.716220843
ATP5J_202325_s_at	ATP5J	202325_s_at	-0.913318207	0.201064205
ATP5J2_202961_s_at	ATP5J2	202961_s_at	-0.424399716	0.51301899
ATP5L_208745_at	ATP5L	208745_at	0.360893246	0.451896484
ATP5O_216954_x_at	ATP5O	216954_x_at	-2.646684678	0.047450794
ATP5S_237400_at	ATP5S	237400_at	-0.587590156	0.044971553
ATP5SL_1557759_at	ATP5SL	1557759_at	-3.338014625	0.038804862
ATP6_242131_at	ATP6	242131_at	-0.465611741	0.627818128
ATP6AP1_207809_s_at	ATP6AP1	207809_s_at	0.538507464	0.238501277
ATP6AP1L_1557523_at	ATP6AP1L	1557523_at	-2.193749647	0.112158656
ATP6AP2_201444_s_at	ATP6AP2	201444_s_at	0.44203939	0.537511994
ATP6V0A1_212383_at	ATP6V0A1	212383_at	-0.259242026	0.739297976
ATP6V0A2_205704_s_at	ATP6V0A2	205704_s_at	0.732249255	0.19001504
ATP6V0A4_220197_at	ATP6V0A4	220197_at	-0.007799645	0.967098642
ATP6V0B_200078_s_at	ATP6V0B	200078_s_at	0.064391126	0.904519527
ATP6V0C_36994_at	ATP6V0C	36994_at	1.3288526	0.121752388
ATP6V0D1_212041_at	ATP6V0D1	212041_at	0.98285015	0.015499737
ATP6V0D2_1553151_at	ATP6V0D2	1553151_at	-0.25594436	0.476893712
ATP6V0E1_201171_at	ATP6V0E1	201171_at	1.160370731	0.079080306
ATP6V0E2_213587_s_at	ATP6V0E2	213587_s_at	0.116010503	0.678440525
ATP6V1A_201972_at	ATP6V1A	201972_at	1.246384491	0.037573643
ATP6V1B1_205473_at	ATP6V1B1	205473_at	-0.093387479	0.700939252
ATP6V1B2_201089_at	ATP6V1B2	201089_at	-0.04430602	0.934812535
ATP6V1C1_202873_at	ATP6V1C1	202873_at	0.886975162	0.036215583
ATP6V1C2_1552532_a_at	ATP6V1C2	1552532_a_at	-0.648065338	0.069059041
ATP6V1D_208899_x_at	ATP6V1D	208899_x_at	1.639804177	0.046663529
ATP6V1E1_208678_at	ATP6V1E1	208678_at	0.452624402	0.435218406
ATP6V1E2_1552286_at	ATP6V1E2	1552286_at	-0.325414631	0.476056785
ATP6V1F_201527_at	ATP6V1F	201527_at	-0.391224761	0.507648861
ATP6V1G1_208737_at	ATP6V1G1	208737_at	1.191328481	0.049231328
ATP6V1G2_214762_at	ATP6V1G2	214762_at	-0.050104511	0.930536204
ATP6V1G3_230565_at	ATP6V1G3	230565_at	-2.351361364	0.032761136
ATP6V1H_221504_s_at	ATP6V1H	221504_s_at	0.796918053	0.156141492
ATP7A_205198_s_at	ATP7A	205198_s_at	-0.999421627	0.063196028
ATP7B_204624_at	ATP7B	204624_at	0.146061148	0.588415722
ATP8A1_210192_at	ATP8A1	210192_at	-0.155365864	0.65623753
ATP8A2_219660_s_at	ATP8A2	219660_s_at	0.448305093	0.209563487
ATP8B1_226302_at	ATP8B1	226302_at	0.087362534	0.684042153
ATP8B2_216873_s_at	ATP8B2	216873_s_at	-0.46537625	0.398507135
ATP8B3_1554704_at	ATP8B3	1554704_at	-0.476491864	0.335757751
ATP8B4_220416_at	ATP8B4	220416_at	-2.887157537	0.334727618
ATP8B5P_1568686_at	ATP8B5P	1568686_at	-2.684107938	0.279992991
ATP9A_212062_at	ATP9A	212062_at	0.079900636	0.707874309
ATP9B_1564344_at	ATP9B	1564344_at	-3.558031283	0.096430577
ATPAF1-AS1_230969_at	ATPAF1-AS1	230969_at	-0.264174644	0.859938249
ATPAF1_224729_s_at	ATPAF1	224729_s_at	-0.983449483	0.09967509
ATPAF2_213057_at	ATPAF2	213057_at	0.351733097	0.477450077
ATPBD4_238662_at	ATPBD4	238662_at	0.700133182	0.27941919
ATPIF1_223339_at	ATPIF1	223339_at	0.444000141	0.230285475
ATR_209902_at	ATR	209902_at	-0.213305916	0.796010757
