	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
LOC100286922_230953_at	LOC100286922	230953_at	9.563864636	0.078544902
LOC100286925_240115_at	LOC100286925	240115_at	-1.005355297	0.265903034
LOC100286938_240767_x_at	LOC100286938	240767_x_at	-2.686118905	0.283186524
LOC100287015_233174_at	LOC100287015	233174_at	-2.711275511	0.505913416
LOC100287098_240617_at	LOC100287098	240617_at	-0.831853345	0.69949894
LOC100287166_233997_at	LOC100287166	233997_at	-4.888688122	0.080327252
LOC100287210_1555206_at	LOC100287210	1555206_at	0.966403554	0.79031626
LOC100287216_233512_at	LOC100287216	233512_at	0.179489069	0.976377876
LOC100287221_1557027_at	LOC100287221	1557027_at	0.602273584	0.924249796
LOC100287290_240936_at	LOC100287290	240936_at	-1.546286944	0.292627052
LOC100287387_217220_at	LOC100287387	217220_at	-2.655128418	0.065503309
LOC100287482_235736_at	LOC100287482	235736_at	-0.697910593	0.405779604
LOC100287483_217327_at	LOC100287483	217327_at	-4.085655344	0.343859767
LOC100287497_234759_at	LOC100287497	234759_at	0.534064665	0.654164819
LOC100287525_230606_at	LOC100287525	230606_at	0.808694945	0.476481102
LOC100287558_1569338_at	LOC100287558	1569338_at	-2.627933465	0.177600853
LOC100287576_1558118_at	LOC100287576	1558118_at	-8.169675416	0.028919462
LOC100287590_214871_x_at	LOC100287590	214871_x_at	0.23075569	0.804091652
LOC100287598_236260_at	LOC100287598	236260_at	5.831559559	0.024129083
LOC100287616_232752_at	LOC100287616	232752_at	0.200605533	0.670913494
LOC100287628_228381_at	LOC100287628	228381_at	-0.178091953	0.726676523
LOC100287704_240999_at	LOC100287704	240999_at	-5.503810752	0.217897566
LOC100287813_232651_at	LOC100287813	232651_at	1.927730371	0.170900137
LOC100287814_236986_at	LOC100287814	236986_at	-4.170533683	0.150170526
LOC100287877_1563008_at	LOC100287877	1563008_at	-1.213719957	0.762592225
LOC100287896_1554609_at	LOC100287896	1554609_at	-0.386901489	0.705452757
LOC100288079_242226_at	LOC100288079	242226_at	5.170030038	0.230707956
